Log File Created
LeftHand is 177.649673
LeftHand is 178.599670
LeftHand is 179.549667
LeftHand is 180.499664
LeftHand is 181.449661
LeftHand is 182.399658
LeftHand is 183.349655
LeftHand is 184.299652
LeftHand is 185.249649
LeftHand is 186.199646
LeftHand is 187.149643
LeftHand is 188.099640
LeftHand is 189.049637
LeftHand is 189.999634
LeftHand is 190.949631
LeftHand is 191.899628
LeftHand is 192.849625
LeftHand is 193.799622
LeftHand is 194.749619
LeftHand is 195.699615
LeftHand is 196.649612
LeftHand is 197.599609
LeftHand is 198.549606
LeftHand is 199.499603
LeftHand is 200.449600
LeftHand is 201.399597
LeftHand is 202.349594
LeftHand is 203.299591
LeftHand is 204.249588
LeftHand is 205.199585
LeftHand is 206.149582
LeftHand is 207.099579
LeftHand is 208.049576
LeftHand is 208.999573
LeftHand is 209.949570
UpperChestSkippingY is 0.000600
UpperChestSkippingY is 0.001200
UpperChestSkippingY is 0.001800
UpperChestSkippingY is 0.002400
UpperChestSkippingY is 0.003000
UpperChestSkippingY is 0.003600
UpperChestSkippingY is 0.004200
UpperChestSkippingY is 0.004800
UpperChestSkippingY is 0.005400
UpperChestSkippingY is 0.006000
UpperChestSkippingY is 0.006600
UpperChestSkippingY is 0.007200
UpperChestSkippingY is 0.007800
UpperChestSkippingY is 0.008400
UpperChestSkippingY is 0.009000
UpperChestSkippingY is 0.009600
UpperChestSkippingY is 0.010200
UpperChestSkippingY is 0.010800
UpperChestSkippingY is 0.011400
UpperChestSkippingY is 0.012000
UpperChestSkippingY is 0.012600
UpperChestSkippingY is 0.013200
UpperChestSkippingY is 0.013800
UpperChestSkippingY is 0.014400
UpperChestSkippingY is 0.015000
UpperChestSkippingY is 0.015600
UpperChestSkippingY is 0.016200
UpperChestSkippingY is 0.016800
UpperChestSkippingY is 0.017400
UpperChestSkippingY is 0.018000
UpperChestSkippingY is 0.018600
UpperChestSkippingY is 0.019200
UpperChestSkippingY is 0.019800
UpperChestSkippingY is 0.020400
UpperChestSkippingY is 0.021000
UpperChestSkippingY is 0.021600
UpperChestSkippingY is 0.022200
UpperChestSkippingY is 0.022800
UpperChestSkippingY is 0.023400
UpperChestSkippingY is 0.024000
UpperChestSkippingY is 0.024600
UpperChestSkippingY is 0.025200
UpperChestSkippingY is 0.025800
UpperChestSkippingY is 0.026400
UpperChestSkippingY is 0.027000
UpperChestSkippingY is 0.027600
UpperChestSkippingY is 0.028200
UpperChestSkippingY is 0.028800
UpperChestSkippingY is 0.029400
UpperChestSkippingY is 0.030000
UpperChestSkippingY is 0.030600
UpperChestSkippingY is 0.031200
UpperChestSkippingY is 0.031800
UpperChestSkippingY is 0.032400
UpperChestSkippingY is 0.033000
UpperChestSkippingY is 0.033600
UpperChestSkippingY is 0.034200
UpperChestSkippingY is 0.034800
UpperChestSkippingY is 0.035400
UpperChestSkippingY is 0.036000
UpperChestSkippingY is 0.036600
UpperChestSkippingY is 0.037200
UpperChestSkippingY is 0.037800
UpperChestSkippingY is 0.038400
UpperChestSkippingY is 0.039000
UpperChestSkippingY is 0.039600
UpperChestSkippingY is 0.040200
UpperChestSkippingY is 0.040800
UpperChestSkippingY is 0.041400
UpperChestSkippingY is 0.042000
UpperChestSkippingY is 0.042600
UpperChestSkippingY is 0.043200
UpperChestSkippingY is 0.043800
UpperChestSkippingY is 0.044400
UpperChestSkippingY is 0.045000
UpperChestSkippingY is 0.045600
UpperChestSkippingY is 0.046200
UpperChestSkippingY is 0.046800
UpperChestSkippingY is 0.047400
UpperChestSkippingY is 0.048000
UpperChestSkippingY is 0.048600
UpperChestSkippingY is 0.049200
UpperChestSkippingY is 0.049800
UpperChestSkippingY is 0.050400
UpperChestSkippingY is 0.051000
UpperChestSkippingY is 0.051600
UpperChestSkippingY is 0.052200
UpperChestSkippingY is 0.052800
UpperChestSkippingY is 0.053400
UpperChestSkippingY is 0.054000
UpperChestSkippingY is 0.054600
UpperChestSkippingY is 0.055200
UpperChestSkippingY is 0.055800
UpperChestSkippingY is 0.056400
UpperChestSkippingY is 0.057000
UpperChestSkippingY is 0.057600
UpperChestSkippingY is 0.058200
UpperChestSkippingY is 0.058800
UpperChestSkippingY is 0.059400
UpperChestSkippingY is 0.060000
UpperChestSkippingY is 0.060600
UpperChestSkippingY is 0.061200
UpperChestSkippingY is 0.061800
UpperChestSkippingY is 0.062400
UpperChestSkippingY is 0.063000
UpperChestSkippingY is 0.063600
UpperChestSkippingY is 0.064200
UpperChestSkippingY is 0.064800
UpperChestSkippingY is 0.065400
UpperChestSkippingY is 0.066000
UpperChestSkippingY is 0.066600
UpperChestSkippingY is 0.067200
UpperChestSkippingY is 0.067800
UpperChestSkippingY is 0.068400
UpperChestSkippingY is 0.069000
UpperChestSkippingY is 0.069600
UpperChestSkippingY is 0.070200
UpperChestSkippingY is 0.070800
UpperChestSkippingY is 0.071400
UpperChestSkippingY is 0.072000
UpperChestSkippingY is 0.072600
UpperChestSkippingY is 0.073200
UpperChestSkippingY is 0.073800
UpperChestSkippingY is 0.074400
UpperChestSkippingY is 0.075000
UpperChestSkippingY is 0.075600
UpperChestSkippingY is 0.076200
UpperChestSkippingY is 0.076800
UpperChestSkippingY is 0.077400
UpperChestSkippingY is 0.078000
UpperChestSkippingY is 0.078600
UpperChestSkippingY is 0.079200
UpperChestSkippingY is 0.079800
UpperChestSkippingY is 0.080400
UpperChestSkippingY is 0.081000
UpperChestSkippingY is 0.081600
UpperChestSkippingY is 0.082200
UpperChestSkippingY is 0.082800
UpperChestSkippingY is 0.083400
UpperChestSkippingY is 0.084000
UpperChestSkippingY is 0.084600
UpperChestSkippingY is 0.085200
UpperChestSkippingY is 0.085800
UpperChestSkippingY is 0.086400
UpperChestSkippingY is 0.087000
UpperChestSkippingY is 0.087600
UpperChestSkippingY is 0.088200
UpperChestSkippingY is 0.088800
UpperChestSkippingY is 0.089400
UpperChestSkippingY is 0.090000
UpperChestSkippingY is 0.090600
UpperChestSkippingY is 0.091200
UpperChestSkippingY is 0.091800
UpperChestSkippingY is 0.092400
UpperChestSkippingY is 0.093000
UpperChestSkippingY is 0.093600
UpperChestSkippingY is 0.094200
UpperChestSkippingY is 0.094800
UpperChestSkippingY is 0.095400
UpperChestSkippingY is 0.096000
UpperChestSkippingY is 0.096600
UpperChestSkippingY is 0.097200
UpperChestSkippingY is 0.097800
UpperChestSkippingY is 0.098400
UpperChestSkippingY is 0.099000
UpperChestSkippingY is 0.099600
UpperChestSkippingY is 0.100200
UpperChestSkippingY is 0.100800
UpperChestSkippingY is 0.101400
UpperChestSkippingY is 0.102000
UpperChestSkippingY is 0.102600
UpperChestSkippingY is 0.103200
UpperChestSkippingY is 0.103800
UpperChestSkippingY is 0.104400
UpperChestSkippingY is 0.105000
UpperChestSkippingY is 0.105600
UpperChestSkippingY is 0.106200
UpperChestSkippingY is 0.106800
UpperChestSkippingY is 0.107400
UpperChestSkippingY is 0.108000
UpperChestSkippingY is 0.108600
UpperChestSkippingY is 0.109200
UpperChestSkippingY is 0.109800
UpperChestSkippingY is 0.110400
UpperChestSkippingY is 0.111000
UpperChestSkippingY is 0.111600
UpperChestSkippingY is 0.112200
UpperChestSkippingY is 0.112800
UpperChestSkippingY is 0.113400
UpperChestSkippingY is 0.114000
UpperChestSkippingY is 0.114600
UpperChestSkippingY is 0.115200
UpperChestSkippingY is 0.115800
UpperChestSkippingY is 0.116400
UpperChestSkippingY is 0.117000
UpperChestSkippingY is 0.117600
UpperChestSkippingY is 0.118200
UpperChestSkippingY is 0.118800
UpperChestSkippingY is 0.119400
UpperChestSkippingY is 0.120000
UpperChestSkippingY is 0.120600
UpperChestSkippingY is 0.121200
UpperChestSkippingY is 0.121800
UpperChestSkippingY is 0.122400
UpperChestSkippingY is 0.123000
UpperChestSkippingY is 0.123600
UpperChestSkippingY is 0.124200
UpperChestSkippingY is 0.124800
UpperChestSkippingY is 0.125400
UpperChestSkippingY is 0.126000
UpperChestSkippingY is 0.126600
UpperChestSkippingY is 0.127200
UpperChestSkippingY is 0.127800
UpperChestSkippingY is 0.128400
UpperChestSkippingY is 0.129000
UpperChestSkippingY is 0.129600
UpperChestSkippingY is 0.130200
UpperChestSkippingY is 0.130800
UpperChestSkippingY is 0.131400
UpperChestSkippingY is 0.132000
UpperChestSkippingY is 0.132600
UpperChestSkippingY is 0.133200
UpperChestSkippingY is 0.133800
UpperChestSkippingY is 0.134400
UpperChestSkippingY is 0.135000
UpperChestSkippingY is 0.135600
UpperChestSkippingY is 0.136200
UpperChestSkippingY is 0.136800
UpperChestSkippingY is 0.137400
UpperChestSkippingY is 0.138000
UpperChestSkippingY is 0.138600
UpperChestSkippingY is 0.139200
UpperChestSkippingY is 0.139800
UpperChestSkippingY is 0.140400
UpperChestSkippingY is 0.141000
UpperChestSkippingY is 0.141600
UpperChestSkippingY is 0.142200
UpperChestSkippingY is 0.142800
UpperChestSkippingY is 0.143400
UpperChestSkippingY is 0.144000
UpperChestSkippingY is 0.144600
UpperChestSkippingY is 0.145200
UpperChestSkippingY is 0.145800
UpperChestSkippingY is 0.146400
UpperChestSkippingY is 0.147000
UpperChestSkippingY is 0.147600
UpperChestSkippingY is 0.148200
UpperChestSkippingY is 0.148800
UpperChestSkippingY is 0.149400
UpperChestSkippingY is 0.150000
UpperChestSkippingY is 0.150600
UpperChestSkippingY is 0.151200
UpperChestSkippingY is 0.151800
UpperChestSkippingY is 0.152400
UpperChestSkippingY is 0.153000
UpperChestSkippingY is 0.153600
UpperChestSkippingY is 0.154200
UpperChestSkippingY is 0.154800
UpperChestSkippingY is 0.155400
UpperChestSkippingY is 0.156000
UpperChestSkippingY is 0.156600
UpperChestSkippingY is 0.157200
UpperChestSkippingY is 0.157800
UpperChestSkippingY is 0.158400
UpperChestSkippingY is 0.159000
UpperChestSkippingY is 0.159600
UpperChestSkippingY is 0.160200
UpperChestSkippingY is 0.160800
UpperChestSkippingY is 0.161400
UpperChestSkippingY is 0.162000
UpperChestSkippingY is 0.162600
UpperChestSkippingY is 0.163200
UpperChestSkippingY is 0.163800
UpperChestSkippingY is 0.164400
UpperChestSkippingY is 0.165000
UpperChestSkippingY is 0.165600
UpperChestSkippingY is 0.166200
UpperChestSkippingY is 0.166800
UpperChestSkippingY is 0.167400
UpperChestSkippingY is 0.168000
UpperChestSkippingY is 0.168600
UpperChestSkippingY is 0.169200
UpperChestSkippingY is 0.169800
UpperChestSkippingY is 0.170400
UpperChestSkippingY is 0.171000
UpperChestSkippingY is 0.171600
Log File Closed
